社員番号,"自分の能力を発揮できる仕事上の得意分野が見つかっている
","自分はどんな仕事をやりたいのか明らかである      
","自分は何を望んで今の仕事をしているのかわかっている
","自分なりの職業的な生き方に関する目標・目的がはっきりしている
","自分のこれからのキャリアには、あまり関心がない
","これからのキャリアを、より充実したものにしたいと強く思う
","キャリア設計（職業生活の設計）は、自分にとって重要な課題である
","これからのキャリアをどう歩むべきか、あまり考えていない
","納得いくキャリアを歩めるかどうかは、自分の責任だと思う
","キャリア形成は、自分自身の責任である
","納得いくキャリアを歩めない原因の大半は周囲の環境にある
","キャリアは周りの環境によって決められていくものだと思う
",新しい環境や状況にも、わりあい早くなじんで対応している,職場環境の変化に対して自分なりに考えて対応している,新しい職場に移ってもすぐに自分らしさを発揮している,職場の制度や仕事が変わってもすぐ対応している,自分の職種・業界分野における最新動向を常に情報収集している,仕事のために新しいことをいろいろ勉強している,社会・経済の動きや成り行きに関する情報を、積極的に収集している,新しい知識・技術を積極的に学ぶように努めている,新しい人間関係が構築できるように、社内外の活動に積極的に参加している,仕事と直接関係ない人とも積極的に交流するようにしている,新しいネットワークづくりに常に取り組んでいる,自分の満足感を高めるように、仕事のやり方を工夫している,常に自発的に仕事を行っている,自分の価値観やポリシーを持って仕事に取り組んでいる,仕事の進め方や企画を立てる上で、今までの延長上のやり方ではなく、自分なりの発想を持って取り組んでいる,少人数チームで協力してタスクを完遂できる,メンバー全員のアイデアを取り入れて成果物を作れる,同僚や上司に向けて口頭でプレゼンテーションができる,スライドや動画などのデジタル資料を用いて情報を共有できる,異なる視点を比較して最適な解決策を選べる,正解が一つでない問題に対して解決策を導き出せる,複数のアイデアを試行し改善を重ねられる,困難な業務課題に対して独自の解決策を考案できる,自分の進捗をモニタリングし計画を柔軟に調整できる,フィードバックを受けて自ら仕事を改善できる,業務データを可視化し BI ダッシュボードで意思決定に活用できる,RPA／ノーコードツールで反復的な業務フローを自動化できる,生成 AI や機械学習モデルを業務改善に活用できる,クラウド環境のアクセス権限を監査し情報保護を徹底できる,デジタルマーケティング施策（SNS 広告等）をデータで最適化できる,顧客・市場データを用いて新商品・サービス企画を立案できる,クラウド／DevOps 環境を構築し IaC で継続的デプロイを管理できる,デジタルツインや IoT データを用いたサプライチェーン最適化を提案・実装できる
0QvvkLZfOwtoLcKiRQGLxg==,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,1 全くそう思わない／全く当てはまらない,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,1 全くそう思わない／全く当てはまらない,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,1 全くそう思わない／全く当てはまらない,2 あまりそう思わない／あまり当てはまらない,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,3 どちらとも言えない,1 全くそう思わない／全く当てはまらない,4 そう思う／当てはまる,3 どちらとも言えない,2 あまりそう思わない／あまり当てはまらない,5 強くそう思う／とても当てはまる,1 全くそう思わない／全く当てはまらない,1 全くそう思わない／全く当てはまらない
0SbekECdnlSeR5yVt3Sx5Q==,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,3 どちらとも言えない,1 全くそう思わない／全く当てはまらない,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,1 全くそう思わない／全く当てはまらない,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,3 どちらとも言えない,3 どちらとも言えない,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,2 あまりそう思わない／あまり当てはまらない,4 そう思う／当てはまる,2 あまりそう思わない／あまり当てはまらない,3 どちらとも言えない,2 あまりそう思わない／あまり当てはまらない,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,3 どちらとも言えない,2 あまりそう思わない／あまり当てはまらない,1 全くそう思わない／全く当てはまらない,4 そう思う／当てはまる,2 あまりそう思わない／あまり当てはまらない,1 全くそう思わない／全く当てはまらない
0VfcW1JJxSu5qhWfDcVlzA==,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,3 どちらとも言えない,1 全くそう思わない／全く当てはまらない,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,3 どちらとも言えない,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる ,3 どちらとも言えない,3 どちらとも言えない,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,3 どちらとも言えない,4 そう思う／当てはまる,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,1 全くそう思わない／全く当てはまらない,4 そう思う／当てはまる,4 そう思う／当てはまる,3 どちらとも言えない,3 どちらとも言えない,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,3 どちらとも言えない,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,1 全くそう思わない／全く当てはまらない,4 そう思う／当てはまる,1 全くそう思わない／全く当てはまらない,1 全くそう思わない／全く当てはまらない,1 全くそう思わない／全く当てはまらない,1 全くそう思わない／全く当てはまらない,1 全くそう思わない／全く当てはまらない
0XC2dFU1_HEZsDs8ZxIK8g==,2 あまりそう思わない／あまり当てはまらない,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,1 全くそう思わない／全く当てはまらない,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,1 全くそう思わない／全く当てはまらない,4 そう思う／当てはまる,4 そう思う／当てはまる,3 どちらとも言えない,3 どちらとも言えない,3 どちらとも言えない,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,2 あまりそう思わない／あまり当てはまらない,3 どちらとも言えない,3 どちらとも言えない,4 そう思う／当てはまる,1 全くそう思わない／全く当てはまらない,3 どちらとも言えない,1 全くそう思わない／全く当てはまらない,4 そう思う／当てはまる,3 どちらとも言えない,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,3 どちらとも言えない,3 どちらとも言えない,3 どちらとも言えない,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,2 あまりそう思わない／あまり当てはまらない,1 全くそう思わない／全く当てはまらない,4 そう思う／当てはまる,4 そう思う／当てはまる,1 全くそう思わない／全く当てはまらない,1 全くそう思わない／全く当てはまらない,3 どちらとも言えない,1 全くそう思わない／全く当てはまらない
0krelzEMiJ39ZgwSWwxfnQ==,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,2 あまりそう思わない／あまり当てはまらない,4 そう思う／当てはまる,4 そう思う／当てはまる,2 あまりそう思わない／あまり当てはまらない,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,3 どちらとも言えない,3 どちらとも言えない,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,3 どちらとも言えない,4 そう思う／当てはまる,3 どちらとも言えない,4 そう思う／当てはまる,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,3 どちらとも言えない,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,3 どちらとも言えない,3 どちらとも言えない,3 どちらとも言えない,3 どちらとも言えない,4 そう思う／当てはまる,3 どちらとも言えない,3 どちらとも言えない
0uhXFkst8ubfJIW2IGhocw==,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,1 全くそう思わない／全く当てはまらない,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,2 あまりそう思わない／あまり当てはまらない,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,2 あまりそう思わない／あまり当てはまらない,4 そう思う／当てはまる,2 あまりそう思わない／あまり当てはまらない,4 そう思う／当てはまる,3 どちらとも言えない,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,1 全くそう思わない／全く当てはまらない,2 あまりそう思わない／あまり当てはまらない,1 全くそう思わない／全く当てはまらない,2 あまりそう思わない／あまり当てはまらない,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,2 あまりそう思わない／あまり当てはまらない,4 そう思う／当てはまる,1 全くそう思わない／全く当てはまらない,1 全くそう思わない／全く当てはまらない,4 そう思う／当てはまる,4 そう思う／当てはまる,1 全くそう思わない／全く当てはまらない,2 あまりそう思わない／あまり当てはまらない,1 全くそう思わない／全く当てはまらない,1 全くそう思わない／全く当てはまらない
182idrQW0mrd9j52ieK_5A==,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,1 全くそう思わない／全く当てはまらない,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,1 全くそう思わない／全く当てはまらない,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,1 全くそう思わない／全く当てはまらない,1 全くそう思わない／全く当てはまらない,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,3 どちらとも言えない,4 そう思う／当てはまる,3 どちらとも言えない,2 あまりそう思わない／あまり当てはまらない,3 どちらとも言えない,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,3 どちらとも言えない,4 そう思う／当てはまる,3 どちらとも言えない,3 どちらとも言えない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない
1RCZF5GXt4XpYQX8VhhbhQ==,3 どちらとも言えない,1 全くそう思わない／全く当てはまらない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,3 どちらとも言えない,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,3 どちらとも言えない,3 どちらとも言えない,3 どちらとも言えない,3 どちらとも言えない,3 どちらとも言えない,3 どちらとも言えない,2 あまりそう思わない／あまり当てはまらない,1 全くそう思わない／全く当てはまらない,3 どちらとも言えない,3 どちらとも言えない,1 全くそう思わない／全く当てはまらない,2 あまりそう思わない／あまり当てはまらない,1 全くそう思わない／全く当てはまらない,1 全くそう思わない／全く当てはまらない,1 全くそう思わない／全く当てはまらない,3 どちらとも言えない,3 どちらとも言えない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,3 どちらとも言えない,3 どちらとも言えない,3 どちらとも言えない,3 どちらとも言えない,3 どちらとも言えない,3 どちらとも言えない,2 あまりそう思わない／あまり当てはまらない,3 どちらとも言えない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,3 どちらとも言えない,3 どちらとも言えない,1 全くそう思わない／全く当てはまらない,1 全くそう思わない／全く当てはまらない,1 全くそう思わない／全く当てはまらない,1 全くそう思わない／全く当てはまらない
2J-9teFdL4ZTuxqJtuCaUg==,5 強くそう思う／とても当てはまる ,3 どちらとも言えない,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,1 全くそう思わない／全く当てはまらない,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,1 全くそう思わない／全く当てはまらない,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,2 あまりそう思わない／あまり当てはまらない,3 どちらとも言えない,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,2 あまりそう思わない／あまり当てはまらない,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,1 全くそう思わない／全く当てはまらない,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,2 あまりそう思わない／あまり当てはまらない,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,2 あまりそう思わない／あまり当てはまらない,1 全くそう思わない／全く当てはまらない,1 全くそう思わない／全く当てはまらない,4 そう思う／当てはまる,3 どちらとも言えない
2MwayYbhncfupztOIh3H-Q==,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,4 そう思う／当てはまる,4 そう思う／当てはまる,1 全くそう思わない／全く当てはまらない,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,1 全くそう思わない／全く当てはまらない,4 そう思う／当てはまる,4 そう思う／当てはまる,2 あまりそう思わない／あまり当てはまらない,3 どちらとも言えない,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,3 どちらとも言えない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,4 そう思う／当てはまる,3 どちらとも言えない,4 そう思う／当てはまる,5 強くそう思う／とても当てはまる,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,1 全くそう思わない／全く当てはまらない,4 そう思う／当てはまる,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,4 そう思う／当てはまる,1 全くそう思わない／全く当てはまらない,1 全くそう思わない／全く当てはまらない
2Y4aBV8NqI-jRdvAf_NP2A==,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,1 全くそう思わない／全く当てはまらない,2 あまりそう思わない／あまり当てはまらない,5 強くそう思う／とても当てはまる ,5 強くそう思う／とても当てはまる ,3 どちらとも言えない,3 どちらとも言えない,3 どちらとも言えない,4 そう思う／当てはまる,4 そう思う／当てはまる,3 どちらとも言えない,4 そう思う／当てはまる,3 どちらとも言えない,3 どちらとも言えない,1 全くそう思わない／全く当てはまらない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,5 強くそう思う／とても当てはまる,4 そう思う／当てはまる,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,4 そう思う／当てはまる,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,4 そう思う／当てはまる,4 そう思う／当てはまる,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない,4 そう思う／当てはまる,4 そう思う／当てはまる,2 あまりそう思わない／あまり当てはまらない,3 どちらとも言えない,2 あまりそう思わない／あまり当てはまらない,2 あまりそう思わない／あまり当てはまらない
